tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,accountId,nChamps
GRANDMASTER,ZBQNmpAqrZJx09PseXhy4T4yZsz2UHnNs-w1hRgiz3XTQ50DTPuNC40mDw,밀림 하나,500,264,213,False,False,False,False,e79f-bgxlMb-stYXeB1ocmlsJzXKc8ezUeK2QVXRM6aQZx3cI_vU8agd,6
GRANDMASTER,Wqw2xdkMBeohr2m1qNi-165L0yzrOu1nhyZa4Gh5vYm2Xec,Imaokai,424,191,181,True,False,False,False,dMbTaM4YAvVvxbcJ7OtENs9uOv5yIGb2PfDLUv-0sUCwUwkfSz1nzZQa,8
GRANDMASTER,DqKXQys7a9k9rxg8AFIqZMwjosHSH1bP-sUrgk-pRQCULKU,유쟁구,336,63,41,False,False,False,True,yhC4nsljJ5WBiiC1kV99Pi5ZJf-abf6FxdesJ2FJh2FZtt8,7
GRANDMASTER,QWALCOQQPbnzd5s4RsvlZxqN8KqqTfzSkk79-HVNfEivgw,IlIIlIlIllll,318,186,164,False,False,False,False,FjszIE6B_ulJqZJpyOZh0Q1SDfXzhwp2cuJbWu7aN84,5
GRANDMASTER,LBrLuX3o8WCBVsaY8biFRADZvQ2u0T_YDnB0PWx-jVoXCpoi,CNDper,238,91,54,False,False,False,False,zrpfOTtfQDSX2ffQsL8xLf7gb6f0R1ZcZeQI6f73KjaS35zvB3W3IS5b,10
GRANDMASTER,wwpMNVH__qIwvmjF8Dv15fnNm03oT9u_eheldDEd2iCUw8XH9JOxFS3LBQ,ayulsalriy,552,276,252,False,False,True,False,FDxehJoR1SFQfEFl_KpZngyqe9xnaobqzcE20Wk0e3cFDeCL9WcCi5_3,10
GRANDMASTER,cK_8gtrkenMPYwKl7xltisMQ8Hz-KpzFWLl_GlJ-dp4mxfEL,현무우 ,260,284,272,False,False,True,False,2E_DV_9bo5u4bOjnuxjkHH1idp2yXsmp0CvbvHxDJamCQQsTFpulR-wj,14
GRANDMASTER,Gopi9l0TfnShktzQjR_-sAqjEqPAdhHf5l2QSMfmqDpSbg,킬러톱,384,382,361,False,False,False,True,Z9T1HAcENQJDr7xoPYSlSCa0VO9vYq_dojvg9qgyCnP0,2
GRANDMASTER,--cdsEcr96xUrATqtlb4tt7A8sjW8o2L9L4jdpjIRMBMwyQ,그릴후랑크,638,332,277,False,False,False,True,kJosJVU9uHdJqMhgPoxXdNCsrmzAUPcVk8PVxEBEtdzPJKnzDysAzJl9,8
GRANDMASTER,Krx-YthiAQlent07yVThk41w44gxl2Y7JSK9-nRwud7yfWw,Pretender1,240,293,247,False,False,False,False,8XKvV8eVp1vYM7D5s_nV7z0gXjIj6b85R6V28eTUUc89dnpuJbLRXhtE,6
