tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
MASTER,YFGjGEz_oV7tS4eOt4L3BZ2_NkOsIjw607r3DBbrA2S46RY,쪼금 미쳤어,1,109,105,False,False,True,False
MASTER,uWX8thI7Nzq2ZsZZZ6xssOSxp2-Fqo_W12NQFOWX__oFvmgjLUYu6UK9OQ,M00naYo,103,228,188,False,False,False,False
MASTER,8ChIwn8bnCAbkobCX4HPovo-yQW3gySx6D94hUWqH3ZTLg,ROKA GOP LACTEA,261,77,67,False,False,True,True
MASTER,HdzGQ9sCSaPCCjxZSui79I4HbjRxogI_oexS3-m_vH1w4zE,qwjruitaweht,105,415,405,False,False,True,False
MASTER,iNGS_HDEFpBWyG10cjg3TFM-Jbs8iDeG2KO4RpRV19_EAjM,제드안합니다,122,252,241,True,False,False,False
MASTER,UH2pz0EhlgZp-mGx0BXuMCzkTPM4EqTqUSbtZQFfuI3VtK8,참포도나무,9,222,206,False,False,False,False
MASTER,6cyNUHA2z_wKkVdNkPv7jtdcJO4Gx7TL6Zh8uiQ1Kc1gTMF4,갱값하는미드,244,431,410,False,False,True,False
MASTER,u_E7RZ9wXDvHZl2hD14ET2j1QqlfyS_QV1tnZoSS64NO0A8beRg_7QQGAg,마멜찬,80,62,33,False,False,True,True
MASTER,oe8rFary7gsfWLwow5jrR4B1O7l9dX-0UG4kuIwncPBDNGk,쿠키 귀여워1,47,73,42,False,False,True,True
MASTER,XALQzEd9jhA5nmu14boaMot3Q3Al0W4tU2XYpVDn6gYSqEo,현 진,0,114,98,False,False,True,False
MASTER,-uy4hZhKhawUTx432vsT9jF_m0BPvkUlJJkcid4tZmax3fs,ChocoFrappe,21,207,201,False,False,False,False
MASTER,0biD6Jld6-L3s06sR230DRw8jTEoM3W-scmR9v8b3-Y0Aq4,8miao,125,426,365,False,False,True,False
MASTER,2M538Xp37egq7vlgj33Z55pbqkqWzeJUilqs0uLz8axO954x,망걍파,110,72,54,False,False,False,False
MASTER,RFvgwKd52H2bBVOQZZCsGyl8ybwP4Fi7e_RWAMrI8_DJbA,강준이칠구,38,287,245,False,False,False,False
MASTER,4n1HoEA6UUN6MI_aPq-9WQhp2i5beHgVIM9Xjc_HwNoNRI0,매너겜부탁여,17,135,123,False,False,True,False
MASTER,C9r02bpGXwLH24rw5alUA3Gb8e2_SXNb5XU5ATw5lLrxFgw,응물어봤어,245,170,147,False,False,True,False
